sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
36,candidateUV_1344,1344,candidateUV,0.05002131758292783,0.0535559162313739,True,True
37,candidateUV_1344,1344,candidateUV,0.05105344567300796,0.05812073525728423,True,True
38,candidateUV_1344,1344,candidateUV,0.056287178288007444,0.05423560941432104,True,True
39,candidateUV_1344,1344,candidateUV,0.052513241946382516,0.055403373917515375,True,True
40,candidateUV_1344,1344,candidateUV,0.0472778341320208,0.05122498591232971,True,True
41,candidateUV_1344,1344,candidateUV,0.047882712769211744,0.05264962901714387,True,True
42,candidateUV_1344,1344,candidateUV,0.045588015229750645,0.05458509461621108,True,True
43,candidateUV_1344,1344,candidateUV,0.04685107618306239,0.055039230937319994,True,True
44,candidateUV_1344,1344,candidateUV,0.045946403261099555,0.05552158470112045,True,True
45,candidateUV_1344,1344,candidateUV,0.047641379020078256,0.06222315632870967,True,True
46,candidateUV_1344,1344,candidateUV,0.04877392772608302,0.06985608498582319,True,True
47,candidateUV_1344,1344,candidateUV,0.05093459706113901,0.0699530876266935,True,True
48,candidateUV_1344,1344,candidateUV,0.0472866698569091,0.06184034034483765,True,True
49,candidateUV_1344,1344,candidateUV,0.04607673603965723,0.06370945048743426,True,True
50,candidateUV_1344,1344,candidateUV,0.0546968740305962,0.06424275540775337,True,True
51,candidateUV_1344,1344,candidateUV,0.05343362046261746,0.06150479891929883,True,True
52,candidateUV_1344,1344,candidateUV,0.049277829879153856,0.059917918697753536,True,True
53,candidateUV_1344,1344,candidateUV,0.048269579600510926,0.059644164056056326,True,True
54,candidateUV_1344,1344,candidateUV,0.04839374736326674,0.05953573873287188,True,True
55,candidateUV_1344,1344,candidateUV,0.04835479590079028,0.06028705680188673,True,True
56,candidateUV_1344,1344,candidateUV,0.05048987580339548,0.06149366709148951,True,True
57,candidateUV_1344,1344,candidateUV,0.05167398112236499,0.06308796789372884,True,True
58,candidateUV_1344,1344,candidateUV,0.0521145327679724,0.06227247841087513,True,True
59,candidateUV_1344,1344,candidateUV,0.051514043282936406,0.061617597878594,True,True
