sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
12,12,30.104522332856273,24.220613253945245,26.661330031360944,6.61636209487915,5.913707256317139,6.298264980316162,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,26.375964186714768,6.0738348960876465,7.402252674102783,6.194386005401611,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,25.324547086644337,5.448930263519287,5.877835750579834,5.805751323699951,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,23.429654775456616,5.097294807434082,5.86716890335083,5.197720527648926,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,21.288293435213482,5.464188098907471,5.255205154418945,4.708775520324707,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
17,17,20.900376556174706,17.11808749868573,19.010733799926392,5.2896833419799805,4.8487091064453125,4.28925895690918,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
18,18,20.394905033940507,18.610240875886223,18.356494071264947,6.258571624755859,5.554356575012207,4.706874847412109,gan,candidateB_plus_E2_tf_lowlambda_expanded672,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
19,19,21.064082150885508,19.086676411603058,18.436616321865593,6.927988529205322,5.44291353225708,5.46290922164917,gan,candidateB_plus_E2_tf_lowlambda_expanded672,gan,gan,1
20,20,21.97923655969375,18.266315468004898,19.233980477964835,6.254051208496094,5.689126491546631,5.654224872589111,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
21,21,27.30086406645334,21.732522780594586,23.93449664310735,8.127616882324219,10.817054748535156,7.608953952789307,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
22,22,32.693467082501115,26.801086541907566,29.725249697336324,8.081520080566406,8.346701622009277,6.380134582519531,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
23,23,34.476953302920876,29.144574221491347,31.5511285857414,6.907674789428711,8.497876167297363,6.341729164123535,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
24,24,35.75728371567695,29.65320138308241,32.280741974780966,7.21915864944458,12.067601203918457,6.377809524536133,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
25,25,36.58411526021696,30.123491475362258,32.93392218879795,11.371563911437988,10.501462936401367,7.647171497344971,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
26,26,35.02599363200026,30.779316467464,31.88424954612235,7.043282985687256,11.28821849822998,9.88078498840332,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,33.55263711512963,6.4783101081848145,19.968429565429688,6.906775951385498,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,34.94630461691354,7.210402011871338,14.947399139404297,7.966394424438477,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,36.19604667748846,6.963974952697754,12.864243507385254,8.13652229309082,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,36.53971329925412,8.127463340759277,14.847400665283203,7.242435455322266,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
31,31,39.104318483733294,31.3053599336416,35.99599902373717,6.818642616271973,16.23410415649414,6.768306255340576,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
