sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
75,75,29.367383683723347,19.74885298310355,32.47500416317513,5.201173305511475,5.680557727813721,6.915792942047119,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,32.9195389381617,5.207019329071045,6.450347900390625,6.442824363708496,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,33.054625289161244,6.132026672363281,6.000014781951904,6.44441556930542,gan,gan,gan,gan,1
78,78,30.300511724579902,19.95492094933438,32.823309159665136,5.8028388023376465,7.092807292938232,7.467264175415039,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,32.72519873286182,6.856454849243164,6.467032432556152,7.82273006439209,gan,gan,gan,gan,1
80,80,30.086252753371088,20.744918439924255,32.516353897835764,6.982686519622803,6.176682472229004,6.708945274353027,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,32.563605591184924,6.426537990570068,7.567525863647461,6.620564937591553,gan,gan,cnn,cnn,0
82,82,28.90089773637945,20.81634708740007,32.13411046876492,7.1840739250183105,6.303605079650879,7.583894729614258,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,31.848832307227834,6.560110569000244,6.599743366241455,6.8852314949035645,gan,gan,cnn,cnn,0
84,84,29.14514380262554,21.106373639070085,32.1027314505205,5.271510124206543,8.559276580810547,6.304929733276367,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,31.77158586594919,5.609640121459961,7.718591690063477,6.038876533508301,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,32.24975431980056,5.25334358215332,9.43416690826416,6.476925373077393,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,32.65427501167667,6.509652614593506,7.174471855163574,7.728309631347656,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,29.05665655879983,6.411813259124756,6.487721920013428,6.957172870635986,gan,gan,cnn,cnn,0
89,89,24.29846982632471,17.197907308437554,26.331558647742042,6.017302513122559,6.256072521209717,6.383296489715576,gan,gan,cnn,cnn,0
90,90,22.206834090995343,17.32676746960286,24.542267374141353,5.257880687713623,5.663510322570801,5.7430548667907715,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,24.69136017763905,5.508337497711182,5.519831657409668,6.230916500091553,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,25.34497735471007,5.735818386077881,5.677903175354004,5.705961227416992,gan,gan,gan,gan,1
